id,value
Bacteroidetes.Bacteroides.Bacteroides_xylanisolvens,4587.0
Bacteroidetes.Barnesiella.Barnesiella_intestinihominis,3198.9999999999995
Bacteroidetes.Coprobacter.Coprobacter_fastidiosus,0.0
Bacteroidetes.Coprobacter.Coprobacter_secundus,0.0
Bacteroidetes.Butyricimonas.Butyricimonas_synergistica,0.0
Bacteroidetes.Butyricimonas.Butyricimonas_virosa,0.0
Bacteroidetes.Odoribacter.Odoribacter_splanchnicus,14885.000000000002
Bacteroidetes.Porphyromonas.Porphyromonas_asaccharolytica,0.0
Bacteroidetes.Porphyromonas.Porphyromonas_canoris,0.0
Bacteroidetes.Porphyromonas.Porphyromonas_catoniae,0.0
Bacteroidetes.Porphyromonas.Porphyromonas_endodontalis,0.0
Bacteroidetes.Porphyromonas.Porphyromonas_gingivalis,0.0
Bacteroidetes.Porphyromonas.Porphyromonas_somerae,327.0
Bacteroidetes.Porphyromonas.Porphyromonas_sp_oral_taxon_278,0.0
Bacteroidetes.Porphyromonas.Porphyromonas_uenonis,0.0
Bacteroidetes.Sanguibacteroides.Sanguibacteroides_justesenii,0.0
Bacteroidetes.Alloprevotella.Alloprevotella_rava,0.0
Bacteroidetes.Alloprevotella.Alloprevotella_tannerae,115.0
Bacteroidetes.Alloprevotella.Prevotella_sp_oral_taxon_473,0.0
Bacteroidetes.Paraprevotella.Paraprevotella_clara,0.0
Bacteroidetes.Paraprevotella.Paraprevotella_xylaniphila,1443.0
Bacteroidetes.Prevotella.Prevotella_baroniae,0.0
Bacteroidetes.Prevotella.Prevotella_bivia,0.0
Bacteroidetes.Prevotella.Prevotella_buccae,0.0
Bacteroidetes.Prevotella.Prevotella_buccalis,0.0
Bacteroidetes.Prevotella.Prevotella_copri,3617289.0000000005
Bacteroidetes.Prevotella.Prevotella_corporis,0.0
Bacteroidetes.Prevotella.Prevotella_dentalis,0.0
Bacteroidetes.Prevotella.Prevotella_denticola,0.0
Bacteroidetes.Prevotella.Prevotella_disiens,0.0
